"spinglass (0.5,0.5)","spinglass (0.5,1)","spinglass (1,0.5)","spinglass (1,1)",sponge (k = 1),sponge (k = 2),sponge (k = 3),sponge (k = 4),sponge (k = 5),sponge (k = 6),sponge (k = 7),sponge (k = 8),sponge (k = 9),sponge (k = 10),username_vote
0,0,0,0,0,0,0,0,0,0,0,3,1,1,04a4cd40dd17ec5e9b8449dcc78ffbb79091f292
0,0,2,2,0,0,0,2,4,4,5,0,8,0,04ac565d9719f8c982eddd8746e38af625692670
0,0,2,2,0,0,0,2,4,4,5,0,8,0,04af543f0128a4d2a174f5a8a68ae1c5d12ec1cb
0,0,0,0,0,0,0,2,4,4,0,3,1,1,04b8bcc21dd6b02057919a1b4cb8c512461d8ad4
0,0,0,0,0,0,0,0,0,0,0,3,1,1,04bdb1f3c0d2c9029920e66b89ea1ca17e4d88fa
0,0,0,0,0,0,0,0,0,0,0,3,1,1,04c62223327fc10dac07c50ab298be7ce6129135
0,0,0,0,0,0,0,0,0,0,0,3,1,1,04c6bd0a1ec8075d638f0d4aed89ce59531f8da9
0,0,0,0,0,0,0,0,0,0,0,3,1,1,04cde6ccaadcaf40be48da152227ec2bff752f6d
0,0,1,1,0,0,0,0,0,0,0,7,7,9,04d6a16dd249377dda6d811832c814c7f5924d3c
0,0,0,0,0,0,0,0,0,0,0,3,1,1,04ddffa7387236b1cd0dd3f7b5d5704317214a95
0,0,2,2,0,0,0,2,4,4,5,0,8,0,04e18395e2279a17646be7c7219dd2382bb5de49
1,0,1,1,0,0,0,0,0,0,0,3,1,1,04f02233d3b4c1070e5f12328a81b47a638eb6af
0,0,2,2,0,0,0,2,4,4,5,0,8,0,04f1b74e9ce64c61cfa48a5e10592190e089ec1a
0,0,2,2,0,0,0,2,4,4,5,0,8,0,04f2498c83925ce5005e253eeb979102c35bfecb
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0500ae702fc38074082329862e3d9aad3f3f1ec3
1,1,1,1,0,0,0,0,0,0,6,7,7,9,05029b1a9a68f9f30ab2c49991ab6ff98a98a92a
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0502f4ce699c0f3567879a4196dfb0ed2a1d7562
0,0,0,0,0,0,0,2,4,4,5,0,8,0,05131c7aa49789595cd0d00a17c36a1f27d63d25
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0519c14fe5da347f710ac058f73fd2c4f302db61
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0520f3f27e60f11d2138d541f1865e081bda7850
0,0,2,2,0,0,0,0,4,4,0,3,1,1,05225ddb9b87eaa20ddf90d2227939201c749e1b
0,0,0,0,0,0,0,2,4,4,0,3,1,1,052968b24a787cf8eccd4ed12c4e10bdb1309b31
0,0,0,0,0,0,0,2,4,0,0,3,1,1,053263871aab1c6e32b176d742d3838123febdf4
